trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.31, 'e': 0.43514240105855023}",25,16,17.904544942550604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.31, 'e': 0.4329666890532575}",30,18,21.97932954476256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.31, 'e': 0.4308018556079912}",30,18,22.385912425970055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.31, 'e': 0.42864784632995123}",20,6,16.937323121523495,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.31, 'e': 0.4265046070983015}",25,14,11.451572097090667,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.31, 'e': 0.42437208406280996}",25,17,1.1104588361429437,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.31, 'e': 0.4222502236424959}",30,8,38.53390041917055,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.31, 'e': 0.42013897252428345}",20,10,-23.309665443655316,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.31, 'e': 0.418038277661662}",30,22,-26.31384534504459,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.31, 'e': 0.4159480862733537}",25,19,9.856218117498987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.31, 'e': 0.41386834584198695}",25,20,7.939321843131578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.31, 'e': 0.41179900411277703}",25,18,14.669579903717647,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.31, 'e': 0.40974000909221314}",25,14,21.47197122367613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.31, 'e': 0.40769130904675205}",20,12,17.899355357282726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.31, 'e': 0.4056528525015183}",30,21,18.360255179791867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.31, 'e': 0.4036245882390107}",20,10,20.647025273704074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.31, 'e': 0.40160646529781563}",20,12,-19.329623895975296,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
183,False,"{'a': 0.31, 'e': 0.3995984329713266}",20,10,11.901942904923825,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.31, 'e': 0.39760044080646995}",25,3,33.97863418682758,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.31, 'e': 0.39561243860243755}",35,9,29.960790805050554,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.31, 'e': 0.3936343764094254}",20,8,20.43002040164275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.31, 'e': 0.39166620452737827}",20,0,34.89688941383772,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.31, 'e': 0.3897078735047414}",20,2,30.326187663808163,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.31, 'e': 0.38775933413721764}",25,13,23.023865526486233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.31, 'e': 0.38582053746653155}",25,17,16.294964872387304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.31, 'e': 0.3838914347791989}",20,13,12.645240624879603,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.31, 'e': 0.38197197760530294}",30,12,34.12262949367002,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.31, 'e': 0.3800621177172764}",25,15,12.868209083531207,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.31, 'e': 0.37816180712869}",35,23,21.39252375280553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.31, 'e': 0.37627099809304654}",35,23,25.708650050721364,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.31, 'e': 0.3743896431025813}",20,16,5.735604147831224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.31, 'e': 0.37251769488706843}",20,0,26.558413674569827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
198,False,"{'a': 0.31, 'e': 0.37065510641263305}",20,10,6.15415177823745,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.31, 'e': 0.3688018308805699}",20,11,14.767154806369785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.31, 'e': 0.36695782172616703}",20,10,17.479468898352422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.31, 'e': 0.3651230326175362}",25,16,17.427484817667995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.31, 'e': 0.36329741745444855}",30,13,32.05484909356849,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.31, 'e': 0.3614809303671763}",25,18,12.773869749323403,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.31, 'e': 0.3596735257153404}",25,0,42.8323243166092,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.31, 'e': 0.35787515808676373}",25,16,16.83597575638977,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.31, 'e': 0.35608578229632987}",20,12,17.85522407815899,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.31, 'e': 0.35430535338484825}",25,14,20.609780841921864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.31, 'e': 0.352533826617924}",25,17,15.154124084312894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.31, 'e': 0.3507711574848344}",25,11,22.30123478912025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.31, 'e': 0.3490173016974102}",20,2,26.974064017967287,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.31, 'e': 0.34727221518892315}",30,16,29.426888654761846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.31, 'e': 0.34553585411297855}",25,17,12.770742181024827,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.31, 'e': 0.34380817484241366}",20,11,12.912543749781545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.31, 'e': 0.34208913396820156}",25,12,20.71388991056613,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.31, 'e': 0.34037868829836054}",30,21,20.67210891388868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.31, 'e': 0.33867679485686875}",20,11,17.34697566001121,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.31, 'e': 0.33698341088258443}",20,7,24.2562480048048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.31, 'e': 0.3352984938281715}",30,16,26.414762700287056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.31, 'e': 0.33362200135903064}",20,6,26.021034798191486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.31, 'e': 0.33195389135223546}",20,7,25.485459513597974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.31, 'e': 0.3302941218954743}",25,15,18.83118028424216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.31, 'e': 0.3286426512859969}",20,15,8.02853831733839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.31, 'e': 0.32699943802956694}",25,16,18.754078429233218,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.31, 'e': 0.3253644408394191}",30,0,48.39362836297157,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.31, 'e': 0.323737618635222}",20,12,12.704997525658248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.31, 'e': 0.3221189305420459}",25,16,19.0037932369649,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.31, 'e': 0.32050833588933564}",20,10,18.53162171078261,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.31, 'e': 0.31890579420988896}",20,13,14.902179221224296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.31, 'e': 0.3173112652388395}",30,8,43.58831178855031,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.31, 'e': 0.3157247089126453}",30,12,29.46781834071432,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.31, 'e': 0.3141460853680821}",20,7,26.587650766656704,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
